,clock (s),posX (m),posY (m),posZ (m)
93,387.0,7.465567999999996,-10.863071999999997,44.98848
94,388.0,6.973823999999996,-9.656063999999997,44.98848
95,389.0,6.571487999999996,-8.449055999999997,44.98848
96,390.0,6.169151999999996,-7.242047999999997,44.98848
97,391.0,5.677407999999996,-6.035039999999997,44.98848
98,392.0,5.1856639999999965,-4.828031999999997,44.98848
99,393.0,4.7833279999999965,-3.6210239999999967,45.110400000000006
100,394.0,4.3809919999999964,-2.4140159999999966,44.98848
101,395.0,3.9786559999999964,-1.2070079999999965,45.110400000000006
102,396.0,3.5763199999999964,3.552713678800501e-15,45.110400000000006
103,397.0,3.084575999999996,1.2070080000000036,44.98848
104,398.0,2.682239999999996,2.4140160000000037,44.98848
105,399.0,2.279903999999996,3.621024000000004,44.98848
106,400.0,1.8775679999999961,4.917440000000004,44.897040000000004
107,401.0,1.475231999999996,6.124448000000004,44.98848
108,402.0,1.072895999999996,7.331456000000004,44.897040000000004
109,403.0,0.7599679999999961,8.538464000000005,44.98848
110,404.0,0.35763199999999606,9.745472000000005,44.897040000000004
111,405.0,-0.04470400000000396,10.952480000000005,44.98848
112,406.0,-0.536448000000004,12.159488000000005,44.897040000000004
113,407.0,-0.9387840000000041,13.366496000000005,44.98848
114,408.0,-1.341120000000004,14.573504000000005,44.897040000000004
115,409.0,-1.7434560000000041,15.780512000000005,44.98848
116,410.0,-2.145792000000004,16.987520000000004,44.98848
117,411.0,-2.548128000000004,18.194528000000005,45.110400000000006
118,412.0,-2.950464000000004,19.401536000000007,45.110400000000006
119,413.0,-3.4422080000000044,20.60854400000001,44.98848
120,414.0,-3.9339520000000046,21.81555200000001,45.110400000000006
121,415.0,-4.246880000000004,22.799040000000012,44.98848
122,416.0,-4.559808000000005,23.514304000000013,45.110400000000006
123,417.0,-4.6492160000000045,23.916640000000015,44.98848
124,418.0,-3.5316160000000045,24.229568000000015,45.110400000000006
125,419.0,-2.3246080000000044,24.542496000000014,44.98848
126,420.0,-1.2070080000000045,25.257760000000015,45.110400000000006
127,421.0,-4.440892098500626e-15,25.749504000000016,44.98848
128,422.0,1.2964159999999956,26.241248000000017,44.98848
129,423.0,2.5034239999999954,26.64358400000002,44.98848
130,424.0,3.799839999999995,27.045920000000017,44.98848
131,425.0,5.006847999999995,27.537664000000017,44.98848
